,hometown,high school,position,status
0,"['Hometown', 'Seattle, Wash.']","['School', 'Nathan Hale High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Missouri']"
1,"['Hometown', 'Harlem, N.Y.']","['School', 'Westtown School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas']"
2,"['Hometown', 'Wilmington, Del.']","['School', 'IMG Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
3,"['Hometown', 'Apple Valley, Minn.']","['School', 'Prolific Prep']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
4,"['Hometown', 'Tampa, Fla.']","['School', 'Tampa Catholic High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
5,"['Hometown', 'Las Vegas, Nev.']","['School', 'Findlay College Prep']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
6,"['Hometown', 'Saginaw, Mich.']","['School', 'La Lumiere School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Louisville']"
7,"['Hometown', 'San Diego, Calif.']","['School', 'Cathedral Catholic High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UNLV']"
8,"['Hometown', 'Los Angeles, Calif.']","['School', 'Oak Hill Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas']"
9,"['Hometown', 'San Diego, Calif.']","['School', 'Foothills Christian High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA']"
10,"['Hometown', 'Huntsville, Ala.']","['School', 'Jemison High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Alabama']"
11,"['Hometown', 'Philadelphia, Pa.']","['School', 'Neumann-Goretti High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
12,"['Hometown', 'Indianapolis, Ind.']","['School', 'North Central High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA']"
13,"['Hometown', 'Mullins, S.C.']","['School', 'Gray Collegiate Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina']"
14,"['Hometown', 'Las Vegas, Nev.']","['School', 'Bishop Gorman High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'USC']"
15,"['Hometown', 'Indianapolis, Ind.']","['School', 'Prolific Prep']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Xavier']"
16,"['Hometown', 'New Haven, Conn.']","['School', 'Notre Dame High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'LSU']"
17,"['Hometown', 'Camden, Miss.']","['School', 'Velma Jackson Magnet High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Miss St']"
18,"['Hometown', 'Worcester, Mass.']","['School', 'Brewster Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Providence']"
