,hometown,high school,position,status
0,"['Hometown', 'Chicago, Ill.']","['School', 'Simeon Career Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke                          ']"
1,"['Hometown', 'San Jose, Calif.']","['School', 'Archbishop Mitty High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona                       ']"
2,"['Hometown', 'Gainesville, Fla.']","['School', 'The Rock School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas                        ']"
3,"['Hometown', 'Rochester, Mich.']","['School', 'Rochester High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky                      ']"
4,"['Hometown', 'Clermont, Fla.']","['School', 'Montverde Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida                       ']"
5,"['Hometown', 'Bonifay, Fla.']","['School', 'Holmes County High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida                       ']"
6,"['Hometown', 'Boston, Mass.']","['School', 'The Tilton School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas                        ']"
7,"['Hometown', 'Little Rock, Ark.']","['School', 'Hall High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arkansas                      ']"
8,"['Hometown', 'Oxford, N.C.']","['School', 'Webb High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina                ']"
9,"['Hometown', 'Brampton, ONT, Canada']","['School', ""Saint Benedict's Prep""]","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Syracuse                      ']"
10,"['Hometown', 'Fishers, Ind.']","['School', 'Hamilton Southeastern High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan                      ']"
11,"['Hometown', 'Mishawaka, Ind.']","['School', 'Marian High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Notre Dame                    ']"
12,"['Hometown', 'Hampton, Va.']","['School', 'Hampton High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina State          ']"
13,"['Hometown', 'Highland, Utah']","['School', 'Lone Peak High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Brigham Young                 ']"
14,"['Hometown', 'Detroit, Mich.']","['School', 'Chandler Park Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan                      ']"
15,"['Hometown', 'Los Angeles, Calif.']","['School', 'St. John Bosco High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA']"
16,"['Hometown', 'Germantown, Wis.']","['School', 'Germantown High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Indiana                       ']"
17,"['Hometown', 'DeSoto, Texas']","['School', 'DeSoto High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke                          ']"
18,"['Hometown', 'Arlington, Texas']","['School', 'Prime Prep Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'LSU                           ']"
19,"['Hometown', 'Ottawa, Kan.']","['School', 'Ottawa High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke                          ']"
20,"['Hometown', 'Cincinnati, Ohio']","['School', 'Montverde Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'West Virginia                 ']"
