,hometown,high school,position,status
0,"['Hometown', 'Southfield, Mich.']","['School', 'Prolific Prep']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas']"
1,"['Hometown', 'Chino Hills, Calif.']","['School', 'Chino Hills High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA']"
2,"['Hometown', 'Katy, Texas']","['School', 'Cypress Lakes High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
3,"['Hometown', 'Flint, Mich.']","['School', 'Huntington Prep']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan State']"
4,"['Hometown', 'Alpine, Utah']","['School', 'Lone Peak High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
5,"['Hometown', 'Naples, Fla.']","['School', 'IMG Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida State']"
6,"['Hometown', 'Manchester, N.H.']","['School', 'Wilbraham & Monson Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
7,"['Hometown', 'Dallas, Texas']","['School', 'DeSoto High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
8,"['Hometown', 'Birmingham, Ala.']","['School', 'Spain Park High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Auburn']"
9,"['Hometown', 'Huntsville, Ala.']","['School', 'Madison Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan State']"
10,"['Hometown', 'Brooklyn, N.Y.']","['School', 'Word of God Christian Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona']"
11,"['Hometown', 'Fairfax, Va.']","['School', 'Paul VI High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Louisville']"
12,"['Hometown', 'West Haven, Conn.']","['School', 'Sacred Heart High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Auburn']"
13,"['Hometown', 'Indianapolis, Ind.']","['School', 'Lawrence Central High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia']"
14,"['Hometown', 'Irving, Texas']","['School', 'MacArthur High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas']"
15,"['Hometown', 'Detroit, Mich.']","['School', 'Univ. of Detroit Jesuit High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan State']"
16,"['Hometown', 'Nashville, Tenn.']","['School', 'Oak Hill Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Alabama']"
17,"['Hometown', 'Edison, N.J.']","['School', 'St. Joseph High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Syracuse']"
18,"['Hometown', 'Las Vegas, Nev.']","['School', 'Bishop Gorman High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Gonzaga']"
19,"['Hometown', 'Gahanna, Ohio']","['School', 'Lincoln High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan State']"
20,"['Hometown', 'Seattle, Wash.']","['School', 'Rainier Beach High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona State']"
21,"['Hometown', 'New Rochelle, N.Y.']","['School', 'Iona College Prep']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia']"
22,"['Hometown', 'Chipley, Fla.']","['School', 'Chipley High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida State']"
23,"['Hometown', 'Jackson, Miss.']","['School', 'Oak Hill Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Miss St']"
24,"['Hometown', 'Cleveland, Ohio']","['School', 'East Tech High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina State']"
25,"['Hometown', 'Vivian, La.']","['School', 'North Caddo High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas A&M']"
26,"['Hometown', 'Tampa, Fla.']","['School', 'Tampa Preparatory School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Connecticut']"
27,"['Hometown', 'West Linn, Ore.']","['School', 'West Linn High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oregon']"
28,"['Hometown', 'Douglasville, Ga.']","['School', 'Douglas County High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina']"
29,"['Hometown', 'Columbia, S.C.']","['School', 'Hammond School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina']"
30,"['Hometown', 'Corona, Calif.']","['School', 'Centennial High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA']"
31,"['Hometown', 'Olney, Md.']","['School', 'Saint Johns College High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Maryland']"
32,"['Hometown', 'Plano, Texas']","['School', 'Prestonwood Christian Academy']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Miss St']"
33,"['Hometown', 'Lakewood, Ohio']","['School', 'Hargrave Military Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Ohio State']"
34,"['Hometown', 'Alpharetta, Ga.']","['School', 'Milton High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tCommitted ', 'Harvard']"
35,"['Hometown', 'Lake Charles, La.']","['School', 'Advanced Prep International']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Baylor']"
36,"['Hometown', 'Philadelphia, Pa.']","['School', ""Friends' Central School""]","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia']"
37,"['Hometown', 'Columbus, Ohio']","['School', 'South Kent School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Syracuse']"
38,"['Hometown', 'Chattanooga, Tenn.']","['School', 'Hamilton Heights Christian Academy']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Miss St']"
39,"['Hometown', 'Napa, Calif.']","['School', 'Prolific Prep']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Connecticut']"
40,"['Hometown', 'Scotch Plains, N.J.']","['School', 'Seton Hall Prep']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Notre Dame']"
41,"['Hometown', 'Bainbridge, Ga.']","['School', 'Bainbridge High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgia']"
42,"['Hometown', 'Chandler, Ariz.']","['School', 'Findlay College Prep']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Marquette']"
43,"['Hometown', 'Stevens Point, Wis.']","['School', 'Stevens Point Area Senior High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Marquette']"
44,"['Hometown', 'Humble, Texas']","['School', 'Atascocita High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Purdue']"
45,"['Hometown', 'Gainesville, Fla.']","['School', 'Oldsmar Christian High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tCommitted ', 'UNLV']"
46,"['Hometown', 'Campbellsville, Ky.']","['School', 'Taylor County High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Xavier']"
47,"['Hometown', 'Bloomfield, Conn.']","['School', 'Vermont Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Xavier']"
48,"['Hometown', 'Atlanta, Ga.']","['School', 'Pebblebrook High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Auburn']"
49,"['Hometown', 'Columbus, Ohio']","['School', 'Northland High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tCommitted ', 'Harvard']"
50,"['Hometown', 'Winston-Salem, N.C.']","['School', 'Oak Hill Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
51,"['Hometown', 'Saint Louis, Mo.']","['School', 'Chaminade College Prep']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
52,"['Hometown', 'Pinetown, N.C.']","['School', 'High Point Christian Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
53,"['Hometown', 'Upper Marlboro, Md.']","['School', 'DeMatha Catholic High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Washington']"
54,"['Hometown', 'Bentonville, Ark.']","['School', 'Bentonville High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
55,"['Hometown', 'Dallas, Texas']","['School', 'Advanced Prep International']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tUndeclared\n\t\t\t\t\t\t\t\t']"
56,"['Hometown', 'El Cajon, Calif.']","['School', 'Foothills Christian High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA']"
57,"['Hometown', 'Austin, Texas']","['School', ""Saint Stephen's Episcopal School""]","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas']"
58,"['Hometown', 'Bartow, Fla.']","['School', 'Bartow High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina']"
59,"['Hometown', 'North Royalton, Ohio']","['School', 'St. Thomas More School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Villanova']"
60,"['Hometown', 'Alpharetta, Ga.']","['School', 'St. Francis High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona']"
61,"['Hometown', 'Jacksonville, Fla.']","['School', 'Potters House Christian']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas']"
62,"['Hometown', 'Chapel Hill, N.C.']","['School', 'Virginia Episcopal School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
63,"['Hometown', 'Wakefield, Mass.']","['School', 'Vermont Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Miami (FL)']"
64,"['Hometown', 'Miami, Fla.']","['School', 'Miami Norland High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Miami (FL)']"
65,"['Hometown', 'Lithonia, Ga.']","['School', 'Miller Grove High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Connecticut']"
66,"['Hometown', 'Minnetonka, Minn.']","['School', 'Hopkins High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Minnesota']"
67,"['Hometown', 'Arlington, Tenn.']","['School', 'Bolton High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'TCU']"
68,"['Hometown', 'Brooklyn, N.Y.']","['School', 'Thomas Jefferson High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', ""St. John's""]"
69,"['Hometown', 'Saint Louis, Mo.']","['School', 'Chaminade College Prep']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Iowa']"
70,"['Hometown', 'Highland Springs, Va.']","['School', 'Huntington Prep']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Indiana']"
71,"['Hometown', 'Philadelphia, Pa.']","['School', 'Roman Catholic High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Penn State']"
72,"['Hometown', 'Shipman, Va.']","['School', 'Saint Annes-Belfield High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
73,"['Hometown', 'Katy, Texas']","['School', 'Sunrise Christian Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oklahoma']"
74,"['Hometown', 'Lima, Ohio']","['School', 'Lima Senior High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan']"
75,"['Hometown', 'Clifton Park, N.Y.']","['School', 'Shenendehowa Central High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Maryland']"
76,"['Hometown', 'Aurora, Colo.']","['School', 'Overland High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Indiana']"
77,"['Hometown', 'South Jordan, Utah']","['School', 'Bingham High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'BYU']"
78,"['Hometown', 'Wilmington, Ohio']","['School', 'Wilmington High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Cincinnati']"
79,"['Hometown', 'Atlanta, Ga.']","['School', 'La Lumiere School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas']"
80,"['Hometown', 'Eutawville, S.C.']","['School', 'Hargrave Military Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia Commonwealth']"
81,"['Hometown', 'Chicago, Ill.']","['School', 'Morgan Park High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'California']"
