,hometown,high school,position,status
0,"['Hometown', 'Columbus, Ohio']","['School', 'Northland High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Ohio State                    ']"
1,"['Hometown', 'Coral Springs, Fla.']","['School', 'Pine Crest High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky                      ']"
2,"['Hometown', 'Dix Hills, N.Y.']","['School', 'Half Hollow Hills West High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Tennessee                     ']"
3,"['Hometown', 'Baltimore, Md.']","['School', 'Brewster Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Memphis                       ']"
4,"['Hometown', 'Brampton, ONT, Canada']","['School', 'Findlay College Prep']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas                         ']"
5,"['Hometown', 'Fort Wayne, Ind.']","['School', 'Bishop Luers High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Ohio State                    ']"
6,"['Hometown', 'Weston, Fla.']","['School', 'The Sagemont School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Syracuse                      ']"
7,"['Hometown', 'Pickering, Ont., Canada']","['School', 'Findlay College Prep']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas                         ']"
8,"['Hometown', 'Kinston, N.C.']","['School', 'Kinston High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina                ']"
9,"['Hometown', 'Kent, Wash.']","['School', 'Kentwood High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA                          ']"
10,"['Hometown', 'Dumfries, Va.']","['School', ""Bishop O'Connell High School""]","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina                ']"
11,"['Hometown', 'Dallas, Texas']","['School', 'L. G. Pinkston High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Texas                   ']"
12,"['Hometown', 'Dayton, Ohio']","['School', 'Jefferson Township High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan State                ']"
13,"['Hometown', 'Santa Ana, Calif.']","['School', 'Mater Dei High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA                          ']"
14,"['Hometown', 'Portland, Ore.']","['School', 'Jefferson High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Washington                    ']"
15,"['Hometown', 'Sherman, Texas']","['School', 'Sherman High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oklahoma                      ']"
16,"['Hometown', 'Baltimore, Md.']","['School', 'Oak Hill Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Connecticut                   ']"
17,"['Hometown', 'Clearwater, Fla.']","['School', 'Clearwater High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida State                 ']"
18,"['Hometown', 'Hinesville, Ga.']","['School', 'Liberty County High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Tennessee                     ']"
19,"['Hometown', 'Toronto, Ontario, Canada']","['School', 'IMG Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Stanford                      ']"
20,"['Hometown', 'Dallas, Texas']","['School', 'Episcopal School of Dallas']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Missouri                      ']"
21,"['Hometown', 'Marietta, Ga.']","['School', 'Wheeler High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Memphis                       ']"
22,"['Hometown', 'Indianapolis, Ind.']","['School', 'Mountain State University Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Xavier                        ']"
23,"['Hometown', 'Southborough, Mass.']","['School', ""Saint Mark's School""]","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgetown                    ']"
24,"['Hometown', 'Richmond, Va.']","['School', 'Huntington Prep']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Marshall                      ']"
25,"['Hometown', 'Shawnee Mission, Kan.']","['School', 'Bishop Miege High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Alabama                       ']"
26,"['Hometown', 'West Roxbury, Mass.']","['School', 'The Tilton School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Providence']"
27,"['Hometown', 'Dayton, Ohio']","['School', 'Dunbar High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tUndeclared\n\t\t\t\t\t\t\t\t']"
28,"['Hometown', 'Indianapolis, Ind.']","['School', 'Hargrave Military Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'FIU']"
29,"['Hometown', 'Richmond, Va.']","['School', 'John Marshall High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Wake Forest                   ']"
30,"['Hometown', 'Brownsville, N.Y.']","['School', 'Bishop Loughlin Memorial High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Villanova                     ']"
31,"['Hometown', 'Windham, N.H.']","['School', 'Central Catholic High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Wake Forest                   ']"
32,"['Hometown', 'Bellport, N.Y.']","['School', 'Middlesex School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Vanderbilt                    ']"
33,"['Hometown', 'Fayetteville, N.C.']","['School', 'Trinity Christian School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'South Carolina                ']"
34,"['Hometown', 'Muscle Shoals, Ala.']","['School', 'Muscle Shoals High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'LSU                           ']"
35,"['Hometown', 'Jackson, Miss.']","['School', 'Forest Hill High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'LSU                           ']"
36,"['Hometown', 'Raleigh, N.C.']","['School', 'Enloe High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Wake Forest                   ']"
37,"['Hometown', 'Accokeek, Md.']","['School', 'Georgetown Prep School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgetown                    ']"
38,"['Hometown', 'Denison, Texas']","['School', 'Denison High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oklahoma                      ']"
39,"['Hometown', 'Zion, Ill.']","['School', 'Zion-Benton High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Ohio State                    ']"
40,"['Hometown', 'Cincinnati, Ohio']","['School', 'Princeton High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Ohio State                    ']"
41,"['Hometown', 'Reading, Mass.']","['School', 'New Hampton School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan                      ']"
42,"['Hometown', 'Jacksonville, Fla.']","['School', 'Arlington Country Day School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Cincinnati                    ']"
43,"['Hometown', 'Lumberton, N.C.']","['School', 'Quality Education Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Baylor                        ']"
44,"['Hometown', 'Montgomery, Ala.']","['School', 'Brewbaker Tech Magnet High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia                      ']"
45,"['Hometown', 'Wildomar, Calif.']","['School', 'Elsinore High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia                      ']"
46,"['Hometown', 'Dripping Springs, Texas']","['School', 'Dripping Springs High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas A&M                     ']"
47,"['Hometown', 'Hyattsville, Md.']","['School', 'DeMatha Catholic High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Notre Dame                    ']"
48,"['Hometown', 'Houston, Texas']","['School', 'Jack Yates High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Houston                       ']"
49,"['Hometown', 'Bronx, N.Y.']","['School', 'St. Anthony High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oregon State                  ']"
50,"['Hometown', 'Ames, Iowa']","['School', 'Ames High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina                ']"
51,"['Hometown', 'West Orange, N.J.']","['School', ""Saint Patrick's High School""]","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke                          ']"
52,"['Hometown', 'Baltimore, Md.']","['School', 'Lake Clifton High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas                        ']"
53,"['Hometown', 'Duncanville, Texas']","['School', 'Duncanville High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Baylor                        ']"
54,"['Hometown', 'Portland, Ore.']","['School', 'Jefferson High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky                      ']"
55,"['Hometown', 'Holly Springs, N.C.']","['School', 'Word of God Christian Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina State          ']"
56,"['Hometown', 'Jacksonville, Fla.']","['School', 'Providence School of Jacksonville']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida                       ']"
57,"['Hometown', 'Philadelphia, Pa.']","['School', 'Life Center Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Syracuse                      ']"
58,"['Hometown', 'Beverly Hills, Mich.']","['School', 'Detroit Country Day School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Detroit                       ']"
59,"['Hometown', 'Rockville, Md.']","['School', 'Montrose Christian School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke                          ']"
60,"['Hometown', 'Memphis, Tenn.']","['School', 'White Station High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Memphis                       ']"
61,"['Hometown', 'Waukegan, Ill.']","['School', 'Waukegan High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Illinois                      ']"
62,"['Hometown', 'Turkey, Europe']","['School', 'Stoneridge Prep']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky                      ']"
63,"['Hometown', 'Detroit, Mich.']","['School', 'Pershing High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan State                ']"
64,"['Hometown', 'Laurelton, N.Y.']","['School', 'Oak Hill Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky                      ']"
65,"['Hometown', 'Madison, Wis.']","['School', 'Madison Memorial High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Marquette                     ']"
66,"['Hometown', 'Mount Pleasant, Mich.']","['School', 'Mount Pleasant High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Central Michigan              ']"
67,"['Hometown', 'Jackson, Tenn.']","['School', 'North Side High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida                       ']"
68,"['Hometown', 'Charlotte, N.C.']","['School', 'United Faith Christian Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida State                 ']"
69,"['Hometown', 'Marietta, Ga.']","['School', 'Walton High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina State          ']"
70,"['Hometown', 'Bronx, N.Y.']","['School', 'Montverde Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Villanova                     ']"
71,"['Hometown', 'Compton, Calif.']","['School', 'Mater Dei High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona State                 ']"
