,hometown,high school,position,status
0,"['Hometown', 'Briarwood, N.Y.']","['School', 'Oak Hill Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina']"
1,"['Hometown', 'Atlanta, Ga.']","['School', 'Holy Spirit School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgia']"
2,"['Hometown', 'Southwest Ranches, Fla.']","['School', 'NSU University School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
3,"['Hometown', 'Bradenton, Fla.']","['School', 'IMG Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona']"
4,"['Hometown', 'Colts Neck, N.J.']","['School', 'Ranney School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida']"
5,"['Hometown', 'Roselle, N.J.']","['School', 'Roselle Catholic High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tCommitted ', 'Kentucky']"
6,"['Hometown', 'Overland Park, Kan.']","['School', 'IMG Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Villanova']"
7,"['Hometown', 'Temecula, Calif.']","['School', 'Rancho Christian School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'USC']"
8,"['Hometown', 'Richmond, Va.']","['School', 'IMG Academy']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina']"
9,"['Hometown', 'Chino Hills, Calif.']","['School', 'Chino Hills High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'USC']"
10,"['Hometown', 'Charlotte, N.C.']","['School', 'Cox Mill High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
11,"['Hometown', 'Rockwall, Texas']","['School', 'Rockwall High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Louisville']"
12,"['Hometown', 'Charleston, S.C.']","['School', 'Porter-Gaud School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Tennessee']"
13,"['Hometown', 'Charlotte, N.C.']","['School', 'West Charlotte High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida State']"
