,hometown,high school,position,status
67,"['Hometown', 'Baltimore, Md.']","['School', 'Baltimore City College High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Maryland                      ']"
68,"['Hometown', 'Queens, N.Y.']","['School', 'South Kent School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', ""St. John's                    ""]"
69,"['Hometown', 'South Kingstown, R.I.']","['School', ""Saint Mark's School""]","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke                          ']"
70,"['Hometown', 'Birmingham, Mich.']","['School', 'Detroit Country Day School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Ohio State                    ']"
71,"['Hometown', 'Chicago, Ill.']","['School', 'Whitney Young High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Ohio State                    ']"
72,"['Hometown', 'Bellaire, Texas']","['School', 'Bellaire High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas                         ']"
73,"['Hometown', 'Saint Louis, Mo.']","['School', 'Christian Life Center Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas                        ']"
74,"['Hometown', 'Humble, Texas']","['School', 'Grace Preparatory Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas A&M                     ']"
75,"['Hometown', 'Jackson, Miss.']","['School', 'Life Center Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Ohio State                    ']"
76,"['Hometown', 'Jonesboro, Ark.']","['School', 'Westside High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arkansas                      ']"
77,"['Hometown', 'Louisville, Ky.']","['School', 'Jeffersontown High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Louisville                    ']"
78,"['Hometown', 'Richmond, Va.']","['School', 'The Steward School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Charleston                    ']"
79,"['Hometown', 'San Diego, Calif.']","['School', 'Herbert Hoover High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona                       ']"
80,"['Hometown', 'Paterson, N.J.']","['School', 'St. Anthony High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Rutgers                       ']"
81,"['Hometown', 'Wilmington, Del.']","['School', 'Sanford School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Syracuse                      ']"
82,"['Hometown', 'Memphis, Tenn.']","['School', 'Melrose High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tUndeclared\n\t\t\t\t\t\t\t\t']"
83,"['Hometown', 'Alpharetta, Ga.']","['School', 'Milton High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgia Tech                  ']"
