,hometown,high school,position,status
0,"['Hometown', 'Las Vegas, Nev.']","['School', 'Bishop Gorman High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA                          ']"
1,"['Hometown', 'Claremont, N.H.']","['School', ""Saint Mark's School""]","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona                       ']"
2,"['Hometown', 'New Zealand, S.P.']","['School', 'Notre Dame Prep']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Pittsburgh                    ']"
3,"['Hometown', 'Fort Bend, Texas']","['School', 'Bush High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas                         ']"
4,"['Hometown', 'Flower Mound, Texas']","['School', 'Marcus High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oklahoma State                ']"
5,"['Hometown', 'Houston, Texas']","['School', 'Strake Jesuit College Prep']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke                          ']"
6,"['Hometown', 'Dewitt, N.Y.']","['School', 'Jamesville-DeWitt High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Syracuse                      ']"
7,"['Hometown', 'Oakland, Calif.']","['School', 'Findlay College Prep']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona                       ']"
8,"['Hometown', 'Saint John, Ind.']","['School', 'Lake Central High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan                      ']"
9,"['Hometown', 'Raleigh, N.C.']","['School', 'Upper Room Christian Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina State          ']"
10,"['Hometown', 'Marion, Iowa']","['School', 'Linn-Mar High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina                ']"
11,"['Hometown', 'Greenfield, Ind.']","['School', 'Park Tudor School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Indiana                       ']"
12,"['Hometown', 'Lithonia, Ga.']","['School', 'Miller Grove High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA                          ']"
13,"['Hometown', 'De Kalb, Miss.']","['School', 'Kemper County High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Alabama                       ']"
14,"['Hometown', 'Houston, Texas']","['School', 'The Village School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Maryland                      ']"
15,"['Hometown', 'Brooklyn, N.Y.']","['School', 'Christ the King High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Connecticut                   ']"
16,"['Hometown', 'Cordova, S.C.']","['School', 'Edisto High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina                ']"
17,"['Hometown', 'Laplace, La.']","['School', 'Riverside Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Baylor                        ']"
18,"['Hometown', 'Monument, Colo.']","['School', 'Lewis-Palmer High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Colorado                      ']"
19,"['Hometown', 'Spearville, Kan.']","['School', 'Olathe Northwest High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky                      ']"
20,"['Hometown', 'Indianapolis, Ind.']","['School', 'Lawrence Central High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Indiana                       ']"
21,"['Hometown', 'Statesville, N.C.']","['School', 'Oak Hill Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina State          ']"
22,"['Hometown', 'Langhorne, Pa.']","['School', 'Neshaminy High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Villanova                     ']"
23,"['Hometown', 'Chester, Va.']","['School', 'The Miller School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas                        ']"
24,"['Hometown', 'Charlotte, N.C.']","['School', 'United Faith Christian Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida                       ']"
25,"['Hometown', 'Alpharetta, Ga.']","['School', 'Milton High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia                      ']"
26,"['Hometown', 'Jacksonville, Fla.']","['School', 'North Florida Educational Institute']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgia Tech                  ']"
27,"['Hometown', 'Fresno, Calif.']","['School', 'San Joaquin Memorial High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Fresno State                  ']"
28,"['Hometown', 'Greensboro, N.C.']","['School', 'Wesleyan Christian Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida State                 ']"
29,"['Hometown', 'Garland, Texas']","['School', 'Naaman Forest High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas                         ']"
30,"['Hometown', 'Decatur, Ga.']","['School', 'Southwest DeKalb High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Auburn                        ']"
31,"['Hometown', 'Houston, Texas']","['School', 'Westbury Christian High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Baylor                        ']"
32,"['Hometown', 'Orange, Calif.']","['School', 'Orange Lutheran High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona                       ']"
33,"['Hometown', 'Wrentham, Mass.']","['School', 'King Philip Regional High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Maryland                      ']"
34,"['Hometown', 'Riverdale, Ga.']","['School', 'North Clayton High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgia Tech                  ']"
35,"['Hometown', 'La Porte, Ind.']","['School', 'La Lumiere School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Indiana                       ']"
36,"['Hometown', 'Bryan, Texas']","['School', 'Bryan High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas A&M                     ']"
37,"['Hometown', 'Sioux City, Neb.']","['School', 'South Sioux City High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Iowa                          ']"
38,"['Hometown', 'San Francisco, Calif.']","['School', 'St. Ignatius High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgetown                    ']"
39,"['Hometown', 'Pendleton, Ind.']","['School', 'Pendleton Heights High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Butler                        ']"
40,"['Hometown', 'Monroe, N.Y.']","['School', 'Blair Academy']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia                      ']"
41,"['Hometown', 'Rockford, Ill.']","['School', 'Auburn High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Wichita State                 ']"
42,"['Hometown', 'Bronx, N.Y.']","['School', ""Saint Benedict's Prep""]","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia Commonwealth         ']"
43,"['Hometown', 'Linwood, Mich.']","['School', 'Bay City Western High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan State                ']"
44,"['Hometown', 'Visalia, Calif.']","['School', 'Central Valley Christian School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Stanford                      ']"
45,"['Hometown', 'Durham, N.C.']","['School', 'Christian Faith Center Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tUndeclared\n\t\t\t\t\t\t\t\t']"
46,"['Hometown', 'Indianapolis, Ind.']","['School', 'North Central High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Purdue                        ']"
47,"['Hometown', 'Alpharetta, Ga.']","['School', 'Chattahoochee High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Clemson                       ']"
48,"['Hometown', 'West Jordan, Utah']","['School', 'West Jordan High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Utah                          ']"
49,"['Hometown', 'Alpharetta, Ga.']","['School', 'Milton High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Auburn                        ']"
50,"['Hometown', 'Everett, Mass.']","['School', 'The Tilton School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky                      ']"
51,"['Hometown', 'Arlington, Texas']","['School', 'Grace Preparatory Academy']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Baylor                        ']"
52,"['Hometown', 'Fairview, N.J.']","['School', 'St. Anthony High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA                          ']"
53,"['Hometown', 'Brampton, ONT, Canada']","['School', 'Findlay College Prep']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UNLV                          ']"
54,"['Hometown', 'La Verne, Calif.']","['School', 'La Verne Lutheran High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona                       ']"
55,"['Hometown', 'Indianapolis, Ind.']","['School', 'Hamilton Southeastern High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan State                ']"
56,"['Hometown', 'Clarksville, Tenn.']","['School', 'Northeast High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky                      ']"
57,"['Hometown', 'Little Rock, Ark.']","['School', 'Sylvan Hills High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky                      ']"
58,"['Hometown', 'Sheboygan, Wis.']","['School', 'Sheboygan Lutheran High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Wisconsin                     ']"
59,"['Hometown', 'Sugar Land, Texas']","['School', 'Hightower High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Houston                       ']"
60,"['Hometown', 'Providence, R.I.']","['School', 'South Kent School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Providence                    ']"
61,"['Hometown', 'New London, Conn.']","['School', 'New London High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Providence                    ']"
