,hometown,high school,position,status
0,"['Hometown', 'Arlington, Texas']","['School', 'Montverde Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oklahoma State']"
1,"['Hometown', 'West Palm Beach, Fla.']","['School', 'Montverde Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida State']"
2,"['Hometown', 'Chatsworth, Calif.']","['School', 'Sierra Canyon High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
3,"['Hometown', 'Austin, Texas']","['School', 'Vandegrift High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas']"
4,"['Hometown', 'Lakewood, Calif.']","['School', 'Mayfair High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tCommitted ', 'Arizona State']"
5,"['Hometown', 'Glendale, Wis.']","['School', 'Nicolet High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
6,"['Hometown', 'Richmond, Va.']","['School', 'Word of God Christian Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tUndeclared\n\t\t\t\t\t\t\t\t']"
7,"['Hometown', 'Charlotte, N.C.']","['School', 'IMG Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Tennessee']"
8,"['Hometown', 'Leesburg, Va.']","['School', 'Paul VI High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
9,"['Hometown', 'Las Vegas, Nev.']","['School', 'Trinity International School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tUndeclared\n\t\t\t\t\t\t\t\t']"
10,"['Hometown', 'Chesapeake, Va.']","['School', 'Oak Hill Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'LSU']"
11,"['Hometown', 'Santa Ana, Calif.']","['School', 'Mater Dei High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
12,"['Hometown', 'Washington, Okla.']","['School', 'Washington High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas']"
