Year,Rank,Hometown,High School,HS Type,Position,Status,College
2020,72,"Camden, N.J.",Camden High School,public,Power Forward,Signed ,Kentucky
2020,73,"Roebuck, S.C.",Dorman High School,public,Center,Signed ,Clemson
2020,74,"Norcross, Ga.",Norcross High School,public,Power Forward,Committed ,Auburn
2020,75,"Brooklyn Park, Minn.",Park Center High School,public,Power Forward,Signed ,Baylor
2020,76,"Richmond, Va.",Trinity Episcopal School,private,Power Forward,Signed ,Duke
2020,77,"Chattanooga, Tenn.",Hamilton Heights Christian Academy,private,Small Forward,Committed ,Florida
2020,78,"Elizabeth, N.J.",The Patrick School,private,Center,Committed ,UConn
2020,79,"Phoenix, Ariz.",Hillcrest Prep,private,Small Forward,Signed ,North Carolina
2020,80,"Henderson, Nev.",Liberty High School,public,Small Forward,Signed ,Gonzaga
2020,81,"Coatesville, Pa.",Huntington Prep,private,Point Guard,Signed ,Michigan State
2020,82,"Katy, Texas",Morton Ranch High School,public,Point Guard,Signed ,Baylor
2020,83,"Greensboro, N.C.",Greensboro Day School,private,Point Guard,Signed ,NC State
2020,84,"Putnam, Conn.",Putnam Science Academy,private,Shooting Guard,Signed ,Texas A&M
2020,85,"Dickinson, Texas",Dickinson High School,public,Small Forward,Signed ,Houston
2020,86,"Las Vegas, Nev.",Bishop Gorman High School,private,Small Forward,Signed ,LSU
2020,87,"Loganville, Ga.",Grayson High School,public,Shooting Guard,Signed ,South Florida
2020,88,"Richmond, Va.",Monacan High School,public,Shooting Guard,Signed ,Virginia Tech
2020,89,"Jacksonville, Fla.",Hargrave Military Academy,private,Power Forward,Signed ,Tennessee
2020,90,"Little Rock, Ark.",Oak Hill Academy,private,Point Guard,Signed ,Arkansas
2020,91,"Mishawaka, Ind.",La Lumiere School,private,Shooting Guard,Signed ,Purdue
2020,92,"Beverly, Mass.",Brewster Academy,private,Power Forward,Signed ,Miami
2020,93,"Flint, Mich.",Beecher High School,public,Point Guard,Signed ,Oregon
2020,94,"Indianapolis, Ind.",Lawrence Central High School,public,Point Guard,Signed ,Kansas State
2020,95,"Chatsworth, Calif.",Sierra Canyon High School,private,Power Forward,Signed ,TCU
2020,96,"Fort Smith, Ark.",Northside High School,public,Center,Signed ,Arkansas
2020,97,"Orchard Lake, Mich.",Saint Marys High School,private,Point Guard,Signed ,Wisconsin
2020,98,"Bowie, Md.",Oak Hill Academy,private,Shooting Guard,Signed ,Virginia Tech
2020,99,"Wolfeboro, N.H.",Brewster Academy,private,Small Forward,Signed ,Boston College
2020,100,"Las Vegas, Nev.",Bishop Gorman High School,private,Shooting Guard,Signed ,Stanford
2019,1,"Briarwood, N.Y.",Oak Hill Academy,private,Point Guard,Signed ,North Carolina
2019,2,"Atlanta, Ga.",Holy Spirit School,private,Shooting Guard,Signed ,Georgia
2019,3,"Southwest Ranches, Fla.",NSU University School,private,Center,Signed ,Duke
2019,4,"Bradenton, Fla.",IMG Academy,private,Shooting Guard,Signed ,Arizona
2019,5,"Colts Neck, N.J.",Ranney School,private,Small Forward,Signed ,Florida
2019,6,"Roselle, N.J.",Roselle Catholic High School,private,Small Forward,Committed ,Kentucky
2019,7,"Overland Park, Kan.",IMG Academy,private,Power Forward,Signed ,Villanova
2019,8,"Temecula, Calif.",Rancho Christian School,private,Power Forward,Signed ,USC
2019,9,"Richmond, Va.",IMG Academy,private,Center,Signed ,North Carolina
2019,10,"Chino Hills, Calif.",Chino Hills High School,public,Center,Signed ,USC
2019,11,"Charlotte, N.C.",Cox Mill High School,public,Small Forward,Signed ,Duke
2019,12,"Rockwall, Texas",Rockwall High School,public,Small Forward,Signed ,Louisville
2019,13,"Charleston, S.C.",Porter-Gaud School,private,Point Guard,Signed ,Tennessee
2019,14,"Charlotte, N.C.",West Charlotte High School,public,Small Forward,Signed ,Florida State
2019,15,"North Hollywood, Calif.",Harvard Westlake High School,private,Small Forward,Committed ,Kentucky
2019,16,"Los Angeles, Calif.",Sierra Canyon High School,private,Shooting Guard,Signed ,Duke
2019,17,"Gainesville, Fla.",The Villages Charter High School,public,Point Guard,Signed ,Florida
2019,18,"Fort Wayne, Ind.",La Lumiere School,private,Power Forward,Signed ,Kentucky
2019,19,"Belleville, Ill.",Belleville West High School,public,Power Forward,Signed ,Ohio State
2019,20,"Powder Springs, Ga.",McEachern High School,public,Small Forward,Signed ,Auburn
2019,21,"Bronx, N.Y.",Brewster Academy,private,Point Guard,Undeclared,N/A
2019,22,"Kissimmee, Fla.",Montverde Academy,private,Center,Signed ,Florida
2019,23,"New Haven, Mich.",New Haven High School,public,Small Forward,Signed ,DePaul
2019,24,"Sharon, Pa.",Kennedy Catholic High School,private,Center,Signed ,West Virginia
2019,25,"Middle Village, N.Y.",Oak Hill Academy,private,Center,Committed ,Illinois
2019,26,"Woodmere, N.Y.",Lawrence Woodmere Academy,private,Power Forward,Signed ,Louisville
2019,27,"Accokeek, Md.",DeMatha Catholic High School,private,Shooting Guard,Signed ,Villanova
2019,28,"Rancho Santa Margarita, Calif.",Santa Margarita Catholic High School,private,Power Forward,Signed ,USC
2019,29,"Denton, Texas",John H. Guyer High School,public,Point Guard,Signed ,Oklahoma
2019,30,"Chandler, Ariz.",AZ Compass Prep,public,Center,Signed ,Maryland
2019,31,"Spokane, Wash.",Gonzaga Preparatory School,private,Power Forward,Signed ,Gonzaga
2019,32,"Iowa City, Iowa",West High School,public,Power Forward,Signed ,Iowa
2019,33,"Hopkins, S.C.",Oak Hill Academy,private,Small Forward,Signed ,Georgia
2019,34,"Fayetteville, N.C.",Trinity Christian School,private,Small Forward,Signed ,Providence
2019,35,"District Heights, Md.",Woodrow Wilson High School,public,Center,Signed ,Maryland
2019,36,"Holly Springs, N.C.",Holly Springs High School,public,Center,Signed ,Virginia
2019,37,"Fairmont, W.Va.",Fairmont Senior High School,public,Small Forward,Committed ,West Virginia
2019,38,"Seattle, Wash.",Findlay College Prep,private,Shooting Guard,Signed ,TCU
2019,39,"Providence, R.I.",St. Andrews School,private,Shooting Guard,Signed ,Syracuse
2019,40,"Fairfax, Va.",Paul VI High School,private,Point Guard,Signed ,North Carolina
2019,41,"Houston, Texas",Houston Christian High School,private,Point Guard,Committed ,Georgia
2019,42,"Trenton, N.J.",Monsignor Bonner High School,private,Shooting Guard,Signed ,Miami
2019,43,"Memphis, Tenn.",Wooddale High School,public,Power Forward,Signed ,Oregon
2019,44,"Florence, Miss.",Florence High School,public,Shooting Guard,Signed ,Alabama
2019,45,"Hopkinsville, Ky.",University Heights Academy,private,Point Guard,Signed ,Xavier
2019,46,"Sulphur Springs, Texas",Sulphur Springs High,public,Power Forward,Signed ,Oklahoma
2019,47,"Montverde, Fla.",Montverde Academy,private,Center,Signed ,Gonzaga
2019,48,"Chicago, Ill.",IMG Academy,private,Small Forward,Committed ,Texas Tech
2019,49,"West Chester, Pa.",Westtown School,private,Point Guard,Signed ,UConn
2019,50,"Syracuse, N.Y.",Vermont Academy,private,Shooting Guard,Committed ,Marquette
2019,51,"Memphis, Tenn.",East High School,public,Center,Signed ,Memphis
2019,52,"Rochester, N.Y.",La Lumiere School,private,Center,Signed ,Washington
2019,53,"Little Elm, Texas",Little Elm High School,public,Point Guard,Undeclared,N/A
2019,54,"Federal Way, Wash.",Federal Way High School,public,Power Forward,Signed ,Washington
2019,55,"Scottsdale, Ariz.",Pinnacle High School,public,Point Guard,Signed ,Arizona
2019,56,"Rochester, Minn.",John Marshall High School,public,Power Forward,Signed ,Duke
2019,57,"Dallas, Texas",South Garland High School,public,Shooting Guard,Signed ,Kentucky
2019,58,"Tinton Falls, N.J.",Ranney School,private,Shooting Guard,Signed ,Villanova
2019,59,"Bronx, N.Y.",Montverde Academy,private,Power Forward,Committed ,Memphis
2019,60,"Mountain Brook, Ala.",Mountain Brook High School,public,Power Forward,Signed ,LSU
2019,61,"Chino Hills, Calif.",SPIRE Institute,private,Point Guard,Undeclared,N/A
2019,62,"Sanford, Fla.",Oak Ridge High School,public,Power Forward,Signed ,Oregon
2019,63,"Olive Branch, Miss.",Olive Branch High School,public,Small Forward,Signed ,Memphis
2019,64,"Greenwood, Ind.",Center Grove High School,public,Power Forward,Signed ,Indiana
2019,65,"Wichita, Kan.",Sunrise Christian Academy,private,Center,Committed ,Oregon
2019,66,"Mansfield, Texas",Duncanville High School,public,Shooting Guard,Signed ,Texas Tech
2019,67,"Detroit, Mich.",SPIRE Institute,private,Point Guard,Signed ,Michigan State
2019,68,"Bettendorf, Iowa",Bettendorf High School,public,Point Guard,Signed ,Ohio State
2019,69,"Austin, Texas",Westlake High School,public,Center,Signed ,Texas
2019,70,"San Diego, Calif.",Mission Bay High School,public,Shooting Guard,Signed ,Memphis
2019,71,"Flint, Mich.",Bella Vista College Prep,private,Small Forward,Undeclared,N/A
2019,72,"Cleveland, Ohio",Brewster Academy,private,Small Forward,Signed ,Ohio State
2019,73,"Milton, Ontario, Canada",Bella Vista College Prep,private,Shooting Guard,Committed ,Oregon
2019,74,"Richardson, Texas",J. J. Pearce High School,public,Center,Signed ,Gonzaga
2019,75,"Minnetonka, Minn.",Hopkins High School,public,Center,Signed ,Arizona
2019,76,"Montverde, Fla.",Montverde Academy,private,Center,Signed ,Florida State
2019,77,"Wolfeboro, N.H.",Brewster Academy,private,Center,Signed ,Texas
2019,78,"Detroit, Mich.",Montverde Academy,private,Point Guard,Signed ,Miami
2019,79,"Aurora, Ill.",Sunrise Christian Academy,private,Small Forward,Signed ,Michigan State
2019,80,"Washington, D.C.",St. Johns College High School,private,Shooting Guard,Signed ,Virginia
2019,81,"American Fork, Utah",American Fork High School,public,Center,Signed ,Oregon
2019,82,"Manchester, N.H.",Putnam Science Academy,private,Power Forward,Committed ,UConn
2019,83,"Columbia, S.C.",Liberty Heights Athletic Institute,private,Small Forward,Signed ,Alabama
