Year,Rank,Hometown,High School,HS Type,Position,Status,College
2017,15,"Las Vegas, Nev.",Bishop Gorman High School,private,Small Forward,Signed ,USC
2017,16,"Indianapolis, Ind.",Prolific Prep,private,Point Guard,Signed ,Xavier
2017,17,"New Haven, Conn.",Notre Dame High School,public,Point Guard,Signed ,LSU
2017,18,"Camden, Miss.",Velma Jackson Magnet High School,public,Point Guard,Signed ,Miss St
2017,19,"Worcester, Mass.",Brewster Academy,private,Point Guard,Signed ,Providence
2017,20,"Norcross, Ga.",Norcross High School,public,Small Forward,Signed ,Georgia
2017,21,"Marietta, Ga.",Wheeler High School,public,Small Forward,Signed ,Duke
2017,22,"Anaheim, Calif.",Esperanza High School,public,Small Forward,Signed ,Stanford
2017,23,"East Saint Louis, Ill.",East St. Louis High School,public,Center,Signed ,Missouri
2017,24,"Bowie, Md.",Gonzaga College High School,private,Point Guard,Signed ,Miami
2017,25,"Atlanta, Ga.",Westlake High School,public,Power Forward,Signed ,Auburn
2017,26,"Franklin, Mass.",The Rivers School,private,Small Forward,Signed ,Villanova
2017,27,"Powder Springs, Ga.",Wheeler High School,public,Point Guard,Signed ,Louisville
2017,28,"Buffalo, N.Y.",Vermont Academy,private,Power Forward,Signed ,Louisville
2017,29,"Little Rock, Ark.",Parkview Arts & Science Magnet High,public,Small Forward,Signed ,Arkansas
2017,30,"Seattle, Wash.",Garfield High School,public,Shooting Guard,Signed ,Stanford
2017,31,"Memphis, Tenn.",IMG Academy,private,Center,Signed ,Florida
2017,32,"Dallas, Texas",Skyline High School,public,Point Guard,Signed ,Kansas
2017,33,"Eastvale, Calif.",Roosevelt High School,public,Shooting Guard,Signed ,Kentucky
2017,34,"Bronx, N.Y.",St. Raymond High School,private,Point Guard,Signed ,Minnesota
2017,35,"Greenbelt, Md.",Hargrave Military Academy,private,Small Forward,Signed ,Xavier
2017,36,"Westerville, Ohio",Westerville South High School,public,Center,Signed ,Ohio State
2017,37,"Grand Rapids, Mich.",Grand Rapids Christian High School,private,Power Forward,Signed ,Michigan State
2017,38,"Miami, Fla.",South Miami High School,public,Point Guard,Signed ,Oklahoma State
2017,39,"Charlotte, N.C.",Oak Hill Academy,private,Shooting Guard,Signed ,Creighton
2017,40,"Baton Rouge, La.",Madison Prep Academy,private,Small Forward,Signed ,Western Kentucky
2017,41,"Houston, Texas",Aldine High School,public,Power Forward,Signed ,Texas
2017,42,"Evanston, Ill.",Evanston Township High School,public,Shooting Guard,Signed ,Purdue
2017,43,"Lakeville, Minn.",Lakeville High School,public,Power Forward,Signed ,Wisconsin
2017,44,"Massillon, Ohio",Jackson High School,public,Small Forward,Signed ,Ohio State
2017,45,"Springfield, Mass.",Commonwealth Academy,private,Power Forward,Signed ,Saint Louis
2017,46,"Iowa City, Iowa",West High School,public,Shooting Guard,Committed ,Iowa
2017,47,"Blairstown, N.J.",Blair Academy,private,Power Forward,Signed ,Miami
2017,48,"Phoenix, Ariz.",Corona Del Sol High School,public,Shooting Guard,Signed ,Arizona
2017,49,"Ripley, W.Va.",Huntington Prep,private,Power Forward,Signed ,Florida
2017,50,"Washington, D.C.",Maret School,private,Center,Signed ,Iowa
2017,51,"Phoenix, Ariz.",Sierra Canyon High School,private,Power Forward,Signed ,Duke
2017,52,"Phoenix, Ariz.",Hillcrest Prep,private,Center,Signed ,Arizona
2017,53,"Atlanta, Ga.",Pace Academy,private,Power Forward,Signed ,Duke
2017,54,"Mableton, Ga.",Pebblebrook High School,public,Point Guard,Signed ,Alabama
2017,55,"Indianapolis, Ind.",La Lumiere School,private,Power Forward,Signed ,Michigan State
2017,56,"New Orleans, La.",Chalmette High School,public,Center,Undeclared,N/A
2017,57,"Reading, Pa.",Reading High School,public,Shooting Guard,Signed ,Miami
2017,58,"Las Vegas, Nev.",Centennial High School,public,Small Forward,Signed ,Oregon
2017,59,"Queens, N.Y.",The Patrick School,private,Center,Signed ,Kentucky
2017,60,"Houston, Texas",Victory Prep Academy,private,Power Forward,Signed ,Kentucky
2017,61,"Toronto, Ontario, Canada",Hamilton Heights Christian Academy,private,Shooting Guard,Signed ,Virginia Tech
2017,62,"Norman, Okla.",Norman North High School,public,Point Guard,Signed ,Oklahoma
2017,63,"Seattle, Wash.",Nathan Hale High School,public,Power Forward,Signed ,Missouri
2017,64,"Jonesboro, Ga.",Jonesboro High School,public,Shooting Guard,Signed ,Florida State
2017,65,"Fort Wayne, Ind.",R. Nelson Snider High School,public,Power Forward,Signed ,Louisville
2017,66,"Norfolk, Va.",Oak Hill Academy,private,Point Guard,Signed ,Texas
2017,67,"Orlando, Fla.",First Academy,private,Shooting Guard,Signed ,Wake Forest
2017,68,"Hamilton, Ontario, Canada",Hamilton Heights Christian Academy,private,Point Guard,Signed ,Kentucky
2017,69,"Yonkers, N.Y.",Westtown School,private,Shooting Guard,Signed ,Arizona
2017,70,"Dartmouth, N.S., Canada",Oak Hill Academy,private,Shooting Guard,Signed ,Iowa State
2017,71,"Los Angeles, Calif.",Bishop Montgomery High School,private,Shooting Guard,Signed ,Oregon State
2017,72,"Winnipeg, MB, Canada",Wasatch Academy,private,Small Forward,Signed ,Arizona
2017,73,"Chatsworth, Calif.",Sierra Canyon High School,private,Power Forward,Signed ,UCLA
2017,74,"El Dorado, Ark.",El Dorado High School,public,Center,Signed ,Arkansas
2017,75,"Corona, Calif.",Centennial High School,public,Center,Signed ,UCLA
2017,76,"Milwaukee, Wis.",La Lumiere School,private,Shooting Guard,Signed ,Michigan
2017,77,"Bowie, Md.",DeMatha Catholic High School,private,Small Forward,Signed ,Notre Dame
2017,78,"Belleville, Ill.",Althoff Catholic High School,private,Shooting Guard,Signed ,Saint Louis
2017,79,"Providence, R.I.",New Hampton School,private,Small Forward,Signed ,Arizona State
2017,80,"Seattle, Wash.",Garfield High School,public,Shooting Guard,Signed ,Washington
2017,81,"Milwaukee, Wis.",Riverside University High School,public,Small Forward,Signed ,Iowa State
2017,82,"Stockbridge, Ga.",Liberty County High School,public,Point Guard,Signed ,Auburn
2017,83,"Atlanta, Ga.",Southwest Atlanta Christian Academy,private,Shooting Guard,Signed ,Florida
2017,84,"Minneapolis, Minn.",Cristo Rey Jesuit High School,private,Center,Signed ,Texas
2017,85,"Los Angeles, Calif.",Crossroads School,private,Power Forward,Signed ,Arizona
2017,86,"Colorado Springs, Colo.",Sand Creek High School,public,Small Forward,Signed ,Colorado
2017,87,"North Andover, Mass.",Cushing Academy,private,Point Guard,Signed ,Virginia Tech
2017,88,"Kalamazoo, Mich.",Kalamazoo Central High School,public,Power Forward,Signed ,Michigan
2017,89,"Middletown, Del.",Appoquinimink High School,public,Shooting Guard,Signed ,Seton Hall
2017,90,"Lafayette, La.",Lafayette Christian Academy,private,Small Forward,Signed ,LSU
2017,91,"Alvin, Texas",Alvin High School,public,Small Forward,Signed ,Texas A&M
2017,92,"Atlanta, Ga.",Greenforest Christian Academy,private,Center,Committed ,Florida State
2017,93,"Chatsworth, Calif.",Sierra Canyon High School,private,Point Guard,Signed ,Arizona State
2017,94,"Milton, Ga.",Milton High School,public,Shooting Guard,Signed ,Duke
2017,95,"Austin, Texas",McNeil High School,public,Shooting Guard,Signed ,Oregon
2017,96,"Buffalo Grove, Ill.",Adlai E. Stevenson High School,public,Small Forward,Signed ,Indiana
2017,97,"Peoria, Ill.",Manual High School,public,Shooting Guard,Signed ,Illinois
2017,98,"Washington, D.C.",Massanutten Military Academy,private,Power Forward,Signed ,Georgetown
2017,99,"Concord, N.C.",J. M. Robinson High School,public,Point Guard,Signed ,NC State
2017,100,"Chapel Hill, N.C.",Word of God Christian Academy,private,Point Guard,Signed ,Missouri
2016,1,"Southfield, Mich.",Prolific Prep,private,Small Forward,Signed ,Kansas
2016,2,"Chino Hills, Calif.",Chino Hills High School,public,Point Guard,Signed ,UCLA
2016,3,"Katy, Texas",Cypress Lakes High School,public,Point Guard,Signed ,Kentucky
2016,4,"Flint, Mich.",Huntington Prep,private,Small Forward,Signed ,Michigan State
2016,5,"Alpine, Utah",Lone Peak High School,public,Point Guard,Signed ,Duke
2016,6,"Naples, Fla.",IMG Academy,private,Small Forward,Signed ,Florida State
2016,7,"Manchester, N.H.",Wilbraham & Monson Academy,private,Power Forward,Signed ,Kentucky
2016,8,"Dallas, Texas",DeSoto High School,public,Center,Signed ,Duke
2016,9,"Birmingham, Ala.",Spain Park High School,public,Center,Signed ,Auburn
2016,10,"Huntsville, Ala.",Madison Academy,private,Shooting Guard,Signed ,Michigan State
2016,11,"Brooklyn, N.Y.",Word of God Christian Academy,private,Small Forward,Signed ,Arizona
2016,12,"Fairfax, Va.",Paul VI High School,private,Small Forward,Signed ,Louisville
2016,13,"West Haven, Conn.",Sacred Heart High School,private,Shooting Guard,Signed ,Auburn
2016,14,"Indianapolis, Ind.",Lawrence Central High School,public,Shooting Guard,Signed ,Virginia
2016,15,"Irving, Texas",MacArthur High School,public,Shooting Guard,Signed ,Texas
2016,16,"Detroit, Mich.",Univ. of Detroit Jesuit High School,private,Point Guard,Signed ,Michigan State
2016,17,"Nashville, Tenn.",Oak Hill Academy,private,Small Forward,Signed ,Alabama
2016,18,"Edison, N.J.",St. Joseph High School,private,Small Forward,Signed ,Syracuse
2016,19,"Las Vegas, Nev.",Bishop Gorman High School,private,Center,Signed ,Gonzaga
2016,20,"Gahanna, Ohio",Lincoln High School,public,Center,Signed ,Michigan State
2016,21,"Seattle, Wash.",Rainier Beach High School,public,Small Forward,Signed ,Arizona State
2016,22,"New Rochelle, N.Y.",Iona College Prep,private,Point Guard,Signed ,Virginia
2016,23,"Chipley, Fla.",Chipley High School,public,Shooting Guard,Signed ,Florida State
2016,24,"Jackson, Miss.",Oak Hill Academy,private,Small Forward,Signed ,Miss St
2016,25,"Cleveland, Ohio",East Tech High School,public,Point Guard,Signed ,North Carolina State
2016,26,"Vivian, La.",North Caddo High School,public,Power Forward,Signed ,Texas A&M
2016,27,"Tampa, Fla.",Tampa Preparatory School,private,Power Forward,Signed ,Connecticut
2016,28,"West Linn, Ore.",West Linn High School,public,Point Guard,Signed ,Oregon
2016,29,"Douglasville, Ga.",Douglas County High School,public,Shooting Guard,Signed ,North Carolina
2016,30,"Columbia, S.C.",Hammond School,private,Shooting Guard,Signed ,North Carolina
2016,31,"Corona, Calif.",Centennial High School,public,Center,Signed ,UCLA
2016,32,"Olney, Md.",St. Johns College High School,private,Point Guard,Signed ,Maryland
2016,33,"Plano, Texas",Prestonwood Christian Academy,private,Center,Signed ,Miss St
2016,34,"Lakewood, Ohio",Hargrave Military Academy,private,Power Forward,Signed ,Ohio State
2016,35,"Alpharetta, Ga.",Milton High School,public,Power Forward,Committed ,Harvard
2016,36,"Lake Charles, La.",Advanced Prep International,private,Small Forward,Signed ,Baylor
2016,37,"Philadelphia, Pa.",Friends Central School,private,Small Forward,Signed ,Virginia
2016,38,"Columbus, Ohio",South Kent School,private,Power Forward,Signed ,Syracuse
2016,39,"Chattanooga, Tenn.",Hamilton Heights Christian Academy,private,Center,Signed ,Miss St
2016,40,"Napa, Calif.",Prolific Prep,private,Small Forward,Signed ,Connecticut
2016,41,"Scotch Plains, N.J.",Seton Hall Prep,private,Shooting Guard,Signed ,Notre Dame
2016,42,"Bainbridge, Ga.",Bainbridge High School,public,Shooting Guard,Signed ,Georgia
2016,43,"Chandler, Ariz.",Findlay College Prep,private,Shooting Guard,Signed ,Marquette
2016,44,"Stevens Point, Wis.",Stevens Point Area Senior High School,public,Small Forward,Signed ,Marquette
2016,45,"Humble, Texas",Atascocita High School,public,Point Guard,Signed ,Purdue
2016,46,"Gainesville, Fla.",Oldsmar Christian High School,private,Small Forward,Committed ,UNLV
2016,47,"Campbellsville, Ky.",Taylor County High School,public,Shooting Guard,Signed ,Xavier
2016,48,"Bloomfield, Conn.",Vermont Academy,private,Power Forward,Signed ,Xavier
2016,49,"Atlanta, Ga.",Pebblebrook High School,public,Point Guard,Signed ,Auburn
2016,50,"Columbus, Ohio",Northland High School,public,Small Forward,Committed ,Harvard
2016,51,"Winston-Salem, N.C.",Oak Hill Academy,private,Power Forward,Signed ,Duke
2016,52,"Saint Louis, Mo.",Chaminade College Prep,private,Small Forward,Signed ,Duke
2016,53,"Pinetown, N.C.",High Point Christian Academy,private,Power Forward,Signed ,Kentucky
2016,54,"Upper Marlboro, Md.",DeMatha Catholic High School,private,Point Guard,Signed ,Washington
2016,55,"Bentonville, Ark.",Bentonville High School,public,Shooting Guard,Signed ,Kentucky
2016,56,"Dallas, Texas",Advanced Prep International,private,Shooting Guard,Undeclared,N/A
2016,57,"El Cajon, Calif.",Foothills Christian High School,private,Power Forward,Signed ,UCLA
2016,58,"Austin, Texas",Saint Stephens Episcopal School,private,Center,Signed ,Texas
2016,59,"Bartow, Fla.",Bartow High School,public,Center,Signed ,North Carolina
2016,60,"North Royalton, Ohio",St. Thomas More School,private,Power Forward,Signed ,Villanova
2016,61,"Alpharetta, Ga.",St. Francis High School,private,Point Guard,Signed ,Arizona
2016,62,"Jacksonville, Fla.",Potters House Christian,private,Center,Signed ,Kansas
2016,63,"Chapel Hill, N.C.",Virginia Episcopal School,private,Power Forward,Signed ,Kentucky
2016,64,"Wakefield, Mass.",Vermont Academy,private,Shooting Guard,Signed ,Miami (FL)
2016,65,"Miami, Fla.",Miami Norland High School,public,Power Forward,Signed ,Miami (FL)
2016,66,"Lithonia, Ga.",Miller Grove High School,public,Point Guard,Signed ,Connecticut
2016,67,"Minnetonka, Minn.",Hopkins High School,public,Small Forward,Signed ,Minnesota
2016,68,"Arlington, Tenn.",Bolton High School,public,Point Guard,Signed ,TCU
2016,69,"Brooklyn, N.Y.",Thomas Jefferson High School,public,Point Guard,Signed ,"s""]"
2016,70,"Saint Louis, Mo.",Chaminade College Prep,private,Power Forward,Signed ,Iowa
2016,71,"Highland Springs, Va.",Huntington Prep,private,Shooting Guard,Signed ,Indiana
2016,72,"Philadelphia, Pa.",Roman Catholic High School,private,Point Guard,Signed ,Penn State
2016,73,"Shipman, Va.",Saint Annes-Belfield High School,private,Power Forward,Signed ,Duke
2016,74,"Katy, Texas",Sunrise Christian Academy,private,Shooting Guard,Signed ,Oklahoma
2016,75,"Lima, Ohio",Lima Senior High School,public,Point Guard,Signed ,Michigan
2016,76,"Clifton Park, N.Y.",Shenendehowa Central High School,public,Shooting Guard,Signed ,Maryland
2016,77,"Aurora, Colo.",Overland High School,public,Power Forward,Signed ,Indiana
2016,78,"South Jordan, Utah",Bingham High School,public,Power Forward,Signed ,BYU
2016,79,"Wilmington, Ohio",Wilmington High School,public,Shooting Guard,Signed ,Cincinnati
2016,80,"Atlanta, Ga.",La Lumiere School,private,Center,Signed ,Texas
2016,81,"Eutawville, S.C.",Hargrave Military Academy,private,Small Forward,Signed ,Virginia Commonwealth
2016,82,"Chicago, Ill.",Morgan Park High School,public,Point Guard,Signed ,California
2016,83,"New Orleans, La.",McDonogh 35 High School,public,Shooting Guard,Signed ,Massachusetts
2016,84,"Owensboro, Ky.",22ft Academy,private,Shooting Guard,Signed ,Miss St
2016,85,"Gilbert, Ariz.",Gilbert Christian High School,private,Power Forward,Signed ,Kansas
2016,86,"Edmond, Okla.",Edmond Memorial High School,public,Power Forward,Signed ,Oklahoma
2016,87,"Montverde, Fla.",Montverde Academy,private,Center,Undeclared,N/A
2016,88,"Durham, N.C.",Voyager Academy,public,Power Forward,Signed ,Virginia
2016,89,"Jersey City, N.J.",Brewster Academy,private,Power Forward,Committed ,Syracuse
2016,90,"Marietta, Ga.",Wheeler High School,public,Power Forward,Signed ,Arizona State
2016,91,"Santa Monica, Calif.",Santa Monica High School,public,Shooting Guard,Signed ,USC
2016,92,"Trenton, N.J.",South Kent School,private,Shooting Guard,Signed ,Seton Hall
2016,93,"Chicago, Ill.",Simeon Career Academy,public,Shooting Guard,Signed ,Gonzaga
2016,94,"Philadelphia, Pa.",22ft Academy,private,Power Forward,Signed ,South Carolina
2016,95,"Dallas, Texas",Mountain Mission School,private,Center,Signed ,Arizona State
2016,96,"Houston, Texas",SATCH Homeschool,private,Point Guard,Signed ,Texas A&M
2016,97,"Norfolk, Va.",Quality Education Academy,public,Small Forward,Signed ,Texas A&M
2016,98,"Queens, N.Y.",Putnam Science Academy,private,Power Forward,Signed ,Connecticut
2016,99,"Denver, Colo.",Brewster Academy,private,Small Forward,Committed ,Providence
2016,100,"Woodstock, Ga.",The Walker School,private,Power Forward,Committed ,Harvard
2015,1,"Memphis, Tenn.",Lausanne Collegiate School,private,Center,Signed ,Kentucky
2015,2,"Alpharetta, Ga.",Wheeler High School,public,Small Forward,Signed ,California
2015,3,"Milwaukee, Wis.",Dominican High School,public,Center,Signed ,Maryland
2015,4,"Oakland, Calif.",Bishop O Dowd High School,private,Power Forward,Signed ,California
2015,5,"Jackson, Miss.",Callaway High School,public,Shooting Guard,Signed ,Miss St
2015,6,"Las Vegas, Nev.",Bishop Gorman High School,private,Center,Signed ,UNLV
2015,7,"Lakeland, Fla.",Oak Hill Academy,private,Shooting Guard,Signed ,Florida State
2015,8,"Lincolnshire, Ill.",Adlai E. Stevenson High School,public,Point Guard,Signed ,Villanova
2015,9,"Seattle, Wash.",Findlay College Prep,private,Shooting Guard,Signed ,Arizona
2015,10,"Rochester, N.Y.",Huntington Prep,private,Center,Signed ,Indiana
2015,11,"Muskegon, Mich.",Muskegon High School,public,Power Forward,Signed ,Michigan State
2015,12,"Franklin, Ohio",Franklin High School,public,Shooting Guard,Signed ,Duke
2015,13,"Memphis, Tenn.",Hamilton High School,public,Power Forward,Signed ,Memphis
2015,14,"Atlanta, Ga.",St. Francis High School,private,Shooting Guard,Signed ,Florida State
2015,15,"Philadelphia, Pa.",Archbishop Carroll High School,private,Small Forward,Signed ,UNLV
2015,16,"Lancaster, Texas",Lancaster High School,public,Center,Signed ,Texas A&M
2015,17,"Dallas, Texas",Justin F. Kimball High School,public,Point Guard,Signed ,Oklahoma State
2015,18,"Plano, Texas",Plano West High School,public,Small Forward,Signed ,Texas A&M
2015,19,"Cashiers, N.C.",Blue Ridge School,private,Power Forward,Signed ,Virginia
2015,20,"Los Angeles, Calif.",Maranatha High School,public,Shooting Guard,Signed ,Oregon
2015,21,"Lawndale, Calif.",Lawndale High School,public,Power Forward,Signed ,USC
2015,22,"Chicago, Ill.",Saint Rita High School,private,Shooting Guard,Signed ,Kentucky
2015,23,"Memphis, Tenn.",Hamilton High School,public,Small Forward,Signed ,Memphis
2015,24,"Shaker Heights, Ohio",Shaker Heights High School,public,Small Forward,Signed ,West Virginia
2015,25,"Columbia, S.C.",Dreher High School,public,Small Forward,Signed ,Texas
2015,26,"Sydney, Australia",La Lumiere School,private,Center,Signed ,Kentucky
2015,27,"Memphis, Tenn.",Douglass High School,public,Shooting Guard,Signed ,Kansas
2015,28,"Chicago, Ill.",Simeon Career Academy,public,Power Forward,Signed ,Nebraska
2015,29,"Lexington, Tenn.",Lexington High School,public,Center,Signed ,Memphis
2015,30,"Louisville, Ky.",Trinity High School,public,Power Forward,Signed ,Louisville
2015,31,"Marietta, Ga.",Oak Hill Academy,private,Center,Signed ,Ohio State
2015,32,"Warminster, Pa.",Findlay College Prep,private,Power Forward,Signed ,Auburn
2015,33,"Torrance, Calif.",Bishop Montgomery High School,private,Shooting Guard,Signed ,Oregon State
2015,34,"La Verne, Calif.",Damien High School,public,Shooting Guard,Signed ,San Diego State
2015,35,"Manhasset, N.Y.",Wings Academy,public,Center,Signed ,Georgetown
2015,36,"Duncanville, Texas",Duncanville High School,public,Shooting Guard,Signed ,Michigan State
2015,37,"Huntington, W.Va.",Huntington Prep,private,Power Forward,Undeclared,N/A
2015,38,"Westchester, Ill.",Saint Joseph High School,private,Point Guard,Signed ,Nebraska
2015,39,"Newton, Mass.",Northfield-Mt. Hermon School,private,Power Forward,Signed ,Northwestern
2015,40,"Columbia, Mo.",Hickman High School,public,Point Guard,Signed ,Arkansas
2015,41,"Owasso, Okla.",Owasso High School,public,Point Guard,Signed ,SMU
2015,42,"Powder Springs, Ga.",Our Savior New American School,private,Point Guard,Signed ,Pittsburgh
2015,43,"Luverne, Ala.",Luverne High School,public,Power Forward,Signed ,Alabama
2015,44,"Fort Lauderdale, Fla.",Pembroke Pines Charter School,public,Shooting Guard,Signed ,Marquette
2015,45,"Mission Hills, Calif.",Village Christian High School,private,Power Forward,Signed ,USC
2015,46,"Fairfax, Va.",Brewster Academy,private,Power Forward,Signed ,Georgetown
2015,47,"Missoula, Mont.",Missoula Hellgate High School,public,Small Forward,Signed ,Oregon State
2015,48,"Beverly Hills, Calif.",Beverly Hills High School,public,Center,Signed ,Arizona
2015,49,"Jersey City, N.J.",St. Anthony High School,private,Small Forward,Signed ,Wichita State
2015,50,"Huntersville, N.C.",Hough High School,public,Power Forward,Signed ,North Carolina
2015,51,"Melbourne, Australia",Montverde Academy,private,Power Forward,Signed ,LSU
2015,52,"Kinston, N.C.",Kinston High School,public,Small Forward,Signed ,Duke
2015,53,"Rice Lake, Wis.",Rice Lake High School,public,Power Forward,Signed ,Marquette
2015,54,"Centereach, N.Y.",Our Savior New American School,private,Power Forward,Signed ,Kansas
2015,55,"Fort Wayne, Ind.",Homestead High School,public,Center,Signed ,Purdue
2015,56,"Las Vegas, Nev.",Bishop Gorman High School,private,Center,Signed ,Duke
2015,57,"Union, N.J.",Roselle Catholic High School,private,Point Guard,Signed ,Kentucky
2015,58,"Orlando, Fla.",Oak Ridge High School,public,Shooting Guard,Signed ,LSU
2015,59,"Chatsworth, Calif.",Findlay College Prep,private,Point Guard,Signed ,Duke
2015,60,"Columbia, S.C.",Spring Valley High School,public,Point Guard,Signed ,South Carolina
2015,61,"Cleveland, Ohio",Villa Angela-St. Joseph High School,private,Power Forward,Signed ,Kansas
2015,62,"Hamilton, N.J.",Trenton Catholic Academy,private,Shooting Guard,Signed ,Syracuse
2015,63,"Roxbury, Mass.",Brewster Academy,private,Point Guard,Signed ,Connecticut
2015,64,"Plano, Texas",Plano West High School,public,Center,Signed ,Texas A&M
2015,65,"Las Vegas, Nev.",Las Vegas High School,public,Small Forward,Signed ,Arizona
2015,66,"Fort Lauderdale, Fla.",Cardinal Gibbons High School,private,Small Forward,Signed ,North Carolina State
2015,67,"Bradenton, Fla.",Victory Rock Prep,private,Small Forward,Signed ,Louisville
2015,68,"Indianapolis, Ind.",La Lumiere School,private,Shooting Guard,Signed ,Illinois
2015,69,"Ovilla, Texas",Triple A Academy,public,Shooting Guard,Signed ,Baylor
2015,70,"Temecula, Calif.",Brewster Academy,private,Point Guard,Signed ,Arizona
2015,71,"Baton Rouge, La.",Madison Prep Academy,private,Shooting Guard,Signed ,LSU
2015,72,"Pembroke Pines, Fla.",The Sagemont School,private,Shooting Guard,Signed ,UCLA
2015,73,"Greenwich, Conn.",Brewster Academy,private,Shooting Guard,Signed ,Louisville
2015,74,"Saginaw, Mich.",Arthur Hill High School,public,Shooting Guard,Signed ,Texas
2015,75,"Houston, Texas",North Shore High School,public,Point Guard,Signed ,Texas
2015,76,"Seattle, Wash.",Rainier Beach High School,public,Shooting Guard,Signed ,Washington
2015,77,"Rockwall, Texas",Rockwall High School,public,Shooting Guard,Signed ,Ohio State
2015,78,"Atlanta, Ga.",Montverde Academy,private,Power Forward,Signed ,Washington
2015,79,"Virginia Beach, Va.",Cape Henry Collegiate School,private,Small Forward,Signed ,Virginia Tech
2015,80,"Little Rock, Ark.",North Little Rock High School,public,Shooting Guard,Signed ,Florida
2015,81,"Sparta, N.J.",Pope John XXIII High School,private,Power Forward,Signed ,Syracuse
2015,82,"Elk Grove, Calif.",Pleasant Grove High School,public,Power Forward,Signed ,Washington
2015,83,"Lakeland, Fla.",Faith Baptist Christian Academy,private,Point Guard,Signed ,Rutgers
2015,84,"Chicago, Ill.",Simeon Career Academy,public,Small Forward,Signed ,Illinois
2015,85,"Centerville, Ala.",Hargrave Military Academy,private,Small Forward,Signed ,Auburn
2015,86,"Dallas, Texas",James Madison High School,public,Shooting Guard,Signed ,Texas A&M
2015,87,"Live Oak, Fla.",Suwannee High School,public,Power Forward,Signed ,Florida
2015,88,"Locust Grove, Ga.",Montverde Academy,private,Center,Signed ,Wake Forest
2015,89,"Fairfax, Va.",Oak Hill Academy,private,Shooting Guard,Signed ,Penn State
2015,90,"Pine Plains, N.Y.",New Hampton School,private,Power Forward,Signed ,Syracuse
2015,91,"Sun Prairie, Wis.",Sun Prairie High School,public,Point Guard,Signed ,Iowa State
2015,92,"Dayton, Ohio",Dunbar High School,public,Point Guard,Signed ,Ohio State
2015,93,"Deerfield Beach, Fla.",Zion Lutheran Christian School,private,Small Forward,Signed ,Florida
2015,94,"Chesterfield, Va.",Lloyd C. Bird High School,public,Shooting Guard,Signed ,North Carolina
2015,95,"Lowell, Mass.",Tilton School,private,Shooting Guard,Signed ,Florida State
2015,96,"North Hollywood, Calif.",Campbell Hall High School,public,Point Guard,Signed ,UCLA
2015,97,"Philadelphia, Pa.",The Phelps School,private,Center,Signed ,Penn State
2015,98,"Anaheim, Calif.",Mayfair High School,public,Point Guard,Signed ,Oregon
2015,99,"Suitland, Md.",Paul VI High School,private,Shooting Guard,Signed ,Syracuse
2015,100,"Haverford, Pa.",The Haverford School,private,Shooting Guard,Signed ,Temple
2014,1,"Bedford, Texas",Trinity High School,public,Center,Signed ,Texas
2014,2,"Apple Valley, Minn.",Apple Valley High School,public,Point Guard,Signed ,Duke
2014,3,"Indianapolis, Ind.",Arsenal Technical High School,public,Power Forward,Signed ,Kentucky
2014,4,"Tomball, Texas",Homeschool Christian Youth Association,private,Small Forward,Signed ,North Carolina
2014,5,"Greensboro, N.C.",Wesleyan Christian Academy,private,Small Forward,Signed ,North Carolina
2014,6,"Milwaukee, Wis.",Milwaukee Hamilton High School,public,Power Forward,Signed ,UCLA
2014,7,"Brooklyn, N.Y.",Lincoln High School,public,Shooting Guard,Signed ,Seton Hall
2014,8,"Raleigh, N.C.",Brewster Academy,private,Power Forward,Signed ,Georgetown
2014,9,"Moss Point, Miss.",Moss Point High School,public,Shooting Guard,Signed ,Kentucky
2014,10,"Marion, Ind.",Marion High School,public,Shooting Guard,Signed ,Indiana
2014,11,"Bloomington, Ill.",University High School,public,Small Forward,Signed ,Ohio State
2014,12,"Bronx, N.Y.",IMG Academy,private,Power Forward,Signed ,Syracuse
2014,13,"Woburn, Mass.",Wilbraham & Monson Academy,private,Center,Signed ,UNLV
2014,14,"Pickerington, Ohio",Pickerington Central High School,public,Small Forward,Signed ,Ohio State
2014,15,"Los Angeles, Calif.",St. John Bosco High School,private,Shooting Guard,Signed ,Connecticut
2014,16,"Boston, Mass.",Kimball Union Academy,private,Power Forward,Signed ,North Carolina State
2014,17,"Chicago, Ill.",Whitney Young High School,public,Power Forward,Signed ,Georgetown
2014,18,"Los Angeles, Calif.",Loyola High School,public,Center,Signed ,UCLA
2014,19,"Portland, Ore.",Columbia Christian Schools,private,Small Forward,Signed ,Michigan
2014,20,"Louisville, Ky.",Ballard High School,public,Point Guard,Signed ,Louisville
2014,21,"Vaughan, Ont., Canada",Huntington Prep,private,Small Forward,Signed ,Missouri
2014,22,"Bronx, N.Y.",The Phelps School,private,Small Forward,Signed ,Virginia Commonwealth
2014,23,"Memphis, Tenn.",White Station High School,public,Point Guard,Signed ,Florida
2014,24,"Richmond, Va.",Benedictine College Prep,private,Shooting Guard,Signed ,Indiana
2014,25,"Roy, Utah",Roy High School,public,Power Forward,Signed ,Utah
2014,26,"Highland, Utah",Lone Peak High School,public,Shooting Guard,Signed ,Brigham Young
2014,27,"Springfield, Ga.",Effingham County High School,public,Power Forward,Signed ,Missouri
2014,28,"Elk Grove, Calif.",Laguna Creek High School,public,Small Forward,Signed ,San Diego State
2014,29,"Los Angeles, Calif.",Sierra Canyon High School,private,Point Guard,Signed ,Arizona
