,hometown,high school,position,status
0,"['Hometown', 'Memphis, Tenn.']","['School', 'Lausanne Collegiate School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
1,"['Hometown', 'Alpharetta, Ga.']","['School', 'Wheeler High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'California']"
2,"['Hometown', 'Milwaukee, Wis.']","['School', 'Dominican High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Maryland']"
3,"['Hometown', 'Oakland, Calif.']","['School', ""Bishop O'Dowd High School""]","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'California']"
4,"['Hometown', 'Jackson, Miss.']","['School', 'Callaway High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Miss St']"
5,"['Hometown', 'Las Vegas, Nev.']","['School', 'Bishop Gorman High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UNLV']"
6,"['Hometown', 'Lakeland, Fla.']","['School', 'Oak Hill Academy']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida State']"
7,"['Hometown', 'Lincolnshire, Ill.']","['School', 'Adlai E. Stevenson High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Villanova']"
8,"['Hometown', 'Seattle, Wash.']","['School', 'Findlay College Prep']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona']"
9,"['Hometown', 'Rochester, N.Y.']","['School', 'Huntington Prep']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Indiana']"
10,"['Hometown', 'Muskegon, Mich.']","['School', 'Muskegon High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan State']"
11,"['Hometown', 'Franklin, Ohio']","['School', 'Franklin High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
12,"['Hometown', 'Memphis, Tenn.']","['School', 'Hamilton High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Memphis']"
13,"['Hometown', 'Atlanta, Ga.']","['School', 'St. Francis High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida State']"
14,"['Hometown', 'Philadelphia, Pa.']","['School', 'Archbishop Carroll High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UNLV']"
15,"['Hometown', 'Lancaster, Texas']","['School', 'Lancaster High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas A&M']"
16,"['Hometown', 'Dallas, Texas']","['School', 'Justin F. Kimball High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oklahoma State']"
17,"['Hometown', 'Plano, Texas']","['School', 'Plano West High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas A&M']"
18,"['Hometown', 'Cashiers, N.C.']","['School', 'Blue Ridge School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia']"
19,"['Hometown', 'Los Angeles, Calif.']","['School', 'Maranatha High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oregon']"
20,"['Hometown', 'Lawndale, Calif.']","['School', 'Lawndale High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'USC']"
21,"['Hometown', 'Chicago, Ill.']","['School', 'Saint Rita High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
22,"['Hometown', 'Memphis, Tenn.']","['School', 'Hamilton High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Memphis']"
23,"['Hometown', 'Shaker Heights, Ohio']","['School', 'Shaker Heights High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'West Virginia']"
24,"['Hometown', 'Columbia, S.C.']","['School', 'Dreher High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas']"
25,"['Hometown', 'Sydney, Australia']","['School', 'La Lumiere School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
26,"['Hometown', 'Memphis, Tenn.']","['School', 'Douglass High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas']"
27,"['Hometown', 'Chicago, Ill.']","['School', 'Simeon Career Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Nebraska']"
28,"['Hometown', 'Lexington, Tenn.']","['School', 'Lexington High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Memphis']"
29,"['Hometown', 'Louisville, Ky.']","['School', 'Trinity High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Louisville']"
30,"['Hometown', 'Marietta, Ga.']","['School', 'Oak Hill Academy']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Ohio State']"
31,"['Hometown', 'Warminster, Pa.']","['School', 'Findlay College Prep']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Auburn']"
32,"['Hometown', 'Torrance, Calif.']","['School', 'Bishop Montgomery High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oregon State']"
33,"['Hometown', 'La Verne, Calif.']","['School', 'Damien High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'San Diego State']"
34,"['Hometown', 'Manhasset, N.Y.']","['School', 'Wings Academy']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgetown']"
35,"['Hometown', 'Duncanville, Texas']","['School', 'Duncanville High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan State']"
36,"['Hometown', 'Huntington, W.Va.']","['School', 'Huntington Prep']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tUndeclared\n\t\t\t\t\t\t\t\t']"
37,"['Hometown', 'Westchester, Ill.']","['School', 'Saint Joseph High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Nebraska']"
38,"['Hometown', 'Newton, Mass.']","['School', 'Northfield-Mt. Hermon School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Northwestern']"
39,"['Hometown', 'Columbia, Mo.']","['School', 'Hickman High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arkansas']"
40,"['Hometown', 'Owasso, Okla.']","['School', 'Owasso High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'SMU']"
41,"['Hometown', 'Powder Springs, Ga.']","['School', 'Our Savior New American School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Pittsburgh']"
42,"['Hometown', 'Luverne, Ala.']","['School', 'Luverne High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Alabama']"
43,"['Hometown', 'Fort Lauderdale, Fla.']","['School', 'Pembroke Pines Charter School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Marquette']"
44,"['Hometown', 'Mission Hills, Calif.']","['School', 'Village Christian High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'USC']"
45,"['Hometown', 'Fairfax, Va.']","['School', 'Brewster Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgetown']"
46,"['Hometown', 'Missoula, Mont.']","['School', 'Missoula Hellgate High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oregon State']"
47,"['Hometown', 'Beverly Hills, Calif.']","['School', 'Beverly Hills High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona']"
48,"['Hometown', 'Jersey City, N.J.']","['School', 'St. Anthony High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Wichita State']"
49,"['Hometown', 'Huntersville, N.C.']","['School', 'Hough High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina']"
50,"['Hometown', 'Melbourne, Australia']","['School', 'Montverde Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'LSU']"
