,hometown,high school,position,status
0,"['Hometown', 'Spartanburg, S.C.']","['School', 'Spartanburg Day School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
1,"['Hometown', 'Henderson, Nev.']","['School', 'Findlay College Prep']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oregon']"
2,"['Hometown', 'Orange Park, Fla.']","['School', 'Orlando Christian Prep']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina']"
3,"['Hometown', 'The Woodlands, Texas']","['School', 'The Woodlands College Park High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas']"
4,"['Hometown', 'Baltimore, Md.']","['School', 'Mount St. Joseph High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Maryland']"
5,"['Hometown', 'Asbury Park, N.J.']","['School', 'Roselle Catholic High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'LSU']"
6,"['Hometown', 'Marietta, Ga.']","['School', 'Wheeler High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
7,"['Hometown', 'Brentwood, Tenn.']","['School', 'Brentwood Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Vanderbilt']"
8,"['Hometown', 'San Antonio, Texas']","['School', 'ASPIRE Academy']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Western Kentucky']"
9,"['Hometown', 'Covington, Ga.']","['School', 'Newton High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
10,"['Hometown', 'Carnon, France, Europe']","['School', 'Wesleyan Christian Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Wake Forest']"
11,"['Hometown', 'Charlotte, N.C.']","['School', 'Providence Day School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kansas']"
12,"['Hometown', 'Hackensack, N.J.']","['School', 'Hudson Catholic High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Villanova']"
13,"['Hometown', 'Aurora, Ontario, Canada']","['School', 'Montverde Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida']"
