,hometown,high school,position,status
0,"['Hometown', 'Bedford, Texas']","['School', 'Trinity High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas']"
1,"['Hometown', 'Apple Valley, Minn.']","['School', 'Apple Valley High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Duke']"
2,"['Hometown', 'Indianapolis, Ind.']","['School', 'Arsenal Technical High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
3,"['Hometown', 'Tomball, Texas']","['School', 'Homeschool Christian Youth Association']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina']"
4,"['Hometown', 'Greensboro, N.C.']","['School', 'Wesleyan Christian Academy']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina']"
5,"['Hometown', 'Milwaukee, Wis.']","['School', 'Milwaukee Hamilton High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA']"
6,"['Hometown', 'Brooklyn, N.Y.']","['School', 'Lincoln High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Seton Hall']"
7,"['Hometown', 'Raleigh, N.C.']","['School', 'Brewster Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgetown']"
8,"['Hometown', 'Moss Point, Miss.']","['School', 'Moss Point High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Kentucky']"
9,"['Hometown', 'Marion, Ind.']","['School', 'Marion High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Indiana']"
10,"['Hometown', 'Bloomington, Ill.']","['School', 'University High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Ohio State']"
11,"['Hometown', 'Bronx, N.Y.']","['School', 'IMG Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Syracuse']"
12,"['Hometown', 'Woburn, Mass.']","['School', 'Wilbraham & Monson Academy']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UNLV']"
13,"['Hometown', 'Pickerington, Ohio']","['School', 'Pickerington Central High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Ohio State']"
14,"['Hometown', 'Los Angeles, Calif.']","['School', 'St. John Bosco High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Connecticut']"
15,"['Hometown', 'Boston, Mass.']","['School', 'Kimball Union Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'North Carolina State']"
16,"['Hometown', 'Chicago, Ill.']","['School', 'Whitney Young High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Georgetown']"
17,"['Hometown', 'Los Angeles, Calif.']","['School', 'Loyola High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA']"
18,"['Hometown', 'Portland, Ore.']","['School', 'Columbia Christian Schools']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan']"
19,"['Hometown', 'Louisville, Ky.']","['School', 'Ballard High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Louisville']"
20,"['Hometown', 'Vaughan, Ont., Canada']","['School', 'Huntington Prep']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Missouri']"
21,"['Hometown', 'Bronx, N.Y.']","['School', 'The Phelps School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Virginia Commonwealth']"
22,"['Hometown', 'Memphis, Tenn.']","['School', 'White Station High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Florida']"
23,"['Hometown', 'Richmond, Va.']","['School', 'Benedictine College Prep']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Indiana']"
24,"['Hometown', 'Roy, Utah']","['School', 'Roy High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Utah']"
25,"['Hometown', 'Highland, Utah']","['School', 'Lone Peak High School']","['Position', 'Shooting Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Brigham Young']"
26,"['Hometown', 'Springfield, Ga.']","['School', 'Effingham County High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Missouri']"
27,"['Hometown', 'Elk Grove, Calif.']","['School', 'Laguna Creek High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'San Diego State']"
28,"['Hometown', 'Los Angeles, Calif.']","['School', 'Sierra Canyon High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Arizona']"
29,"['Hometown', 'Humble, Texas']","['School', 'Atascocita High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Oklahoma State']"
30,"['Hometown', 'Westport, Conn.']","['School', 'Fairfield College Prep']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Providence']"
31,"['Hometown', 'Arlington, Texas']","['School', 'Timberview High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Texas A&M']"
32,"['Hometown', 'Phoenix, Ariz.']","['School', 'Sunnyslope High School']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Stanford']"
33,"['Hometown', 'Gretna, La.']","['School', 'Helen Cox High School']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Memphis']"
34,"['Hometown', 'New South Wales, Australia']","['School', 'Brewster Academy']","['Position', 'Power Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'UCLA']"
35,"['Hometown', 'Denver, Colo.']","['School', 'Denver East High School']","['Position', 'Small Forward']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Creighton']"
36,"['Hometown', 'Bel Aire, Kan.']","['School', 'Sunrise Christian Academy']","['Position', 'Point Guard']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Michigan State']"
37,"['Hometown', 'Upper Marlboro, Md.']","['School', 'Riverdale Baptist High School']","['Position', 'Center']","['Status ', '\n\t\t\t\t\t\t\t\tSigned ', 'Louisville']"
